hoya012___deep_learning_object_detection,0
hunkim___word-rnn-tensorflow,1
hunshcn___gh-proxy,1
huyuanzhi2___password_brute_dictionary,0
hxz393___BaiduPanFilesTransfers,1
instillai___deep-learning-roadmap,0
jalan___pdftotext,0
jamiemcg___Remarkable,1
jayanam___fast-carve,1
jazzband___django-admin-sortable,1
jdb78___pytorch-forecasting,1
je-suis-tm___quant-trading,1
jeffreydwalter___arlo,1
jekyc___wig,1
jerry-git___learn-python3,0
jettify___pytorch-optimizer,1
jkjung-avt___tensorrt_demos,1
jnhwkim___ban-vqa,1
joealcorn___laboratory,1
justinzm___gopup,1
kimiyoung___transformer-xl,1
kislyuk___yq,1
kkroening___ffmpeg-python,1
kootenpv___whereami,1
kozec___sc-controller,1
kushalvyas___Python-Multiple-Image-Stitching,1
larsenwork___monoid,0
lb2281075105___Python-Spider,1
leisurelicht___wtfpython-cn,0
lhartikk___AstroBuild,0
lk-geimfari___awesomo,0
localstack___awscli-local,0
lucidrains___vit-pytorch,1
ly4k___SMBGhost,1
lyft___cartography,1
lyhue1991___eat_tensorflow2_in_30_days,0
mailgun___flanker,1
malhotra5___Manim-Tutorial,0
manicman1999___StyleGAN2-Tensorflow-2.0,1
marblexu___PythonPlantsVsZombies,1
marcomusy___pianoplayer,1
mbadry1___DeepLearning.ai-Summary,0
mdbloice___Augmentor,1
mgedmin___objgraph,1
mher___flower,1
mherrmann___selenium-python-helium,1
microservices-demo___microservices-demo,0
microsoft___MMdnn,1
mikeckennedy___write-pythonic-code-demos,1
mikel-brostrom___Yolov5_DeepSort_Pytorch,1
minimaxir___big-list-of-naughty-strings,0
minimaxir___gpt-2-simple,1
misterch0c___shadowbroker,1
mthbernardes___rsg,0
musalbas___heartbleed-masstest,1
mxgxw___MFRC522-python,1
nalepae___pandarallel,1
natewong1313___bird-bot,1
naturomics___CapsNet-Tensorflow,1
ncrocfer___whatportis,1
nengo___nengo,1
netbox-community___netbox,1
newren___git-filter-repo,1
nilmtk___nilmtk,1
nlscc___samloader,1
noamraph___tqdm,0
noirbizarre___flask-restplus,1
oliver006___elasticsearch-gmail,1
olivierkes___manuskript,1
open-mmlab___mmcv,0
open-mmlab___mmdetection3d,1
openai___glide-text2im,1
openscopeproject___InteractiveHtmlBom,1
openstack___glance,0
oreilly-japan___deep-learning-from-scratch-3,1
overshard___pinry,0
ownthink___KnowledgeGraphData,0
pandas-dev___pandas,1
pandolia___tinyc,0
pawl___raspberry-pi-1u-server,0
pointhi___kicad-color-schemes,1
ptpb___pb,1
public-api-lists___public-api-lists,0
pynamodb___PynamoDB,1
pypa___packaging.python.org,1
pypa___pipx,1
pyserial___pyserial,1
python-babel___babel,1
pythonguis___15-minute-apps,1
pytorch___captum,0
pytorch___fairseq,1
qubvel___segmentation_models,1
r35tart___RedisWriteFile,0
rafaelpadilla___Object-Detection-Metrics,1
ragulpr___wtte-rnn,1
rainx___pytdx,1
realsirjoe___instagram-scraper,1
redacted___XKCD-password-generator,1
reorx___httpstat,0
rezoo___illustration2vec,1
robocorp___rpaframework,1
rocky___python-decompile3,1
rootphantomer___Blasting_dictionary,0
ros___ros,1
rsalmei___alive-progress,1
rueckstiess___mtools,1
ry___tensorflow-vgg16,1
scikit-learn-contrib___imbalanced-learn,1
scrapy___dirbot,1
selfspy___selfspy,1
sepandhaghighi___samila,1
shelhamer___fcn.berkeleyvision.org,1
sicxu___Deep3DFaceRecon_pytorch,1
sinovation___ZEN,1
sissbruecker___linkding,1
sixpack___sixpack,1
sjvasquez___web-traffic-forecasting,1
sniklaus___pytorch-pwc,1
so87___OSCP-PwK,0
somerandomdude___Iconic,1
sphinx-doc___sphinx,1
styxit___HTPC-Manager,1
tangqiaoboy___iOSBlogCN,0
techgaun___github-dorks,1
tensorlayer___srgan,1
theJaxon___unlocker,1
thewhiteh4t___pwnedOrNot,1
timsutton___brigadier,1
tomslee___airbnb-data-collection,1
trailbehind___DeepOSM,1
trailofbits___graphtage,1
triton-inference-server___server,1
tryolabs___norfair,1
tum-pbs___PhiFlow,1
verigak___progress,1
vinta___awesome-python,0
vysecurity___morphHTA,0
wtjiang98___PSGAN,1
wzhe06___Reco-papers,0
wzhe06___SparrowRecSys,1
xeneta___LeadQualifier,1
xiaolai___public-speaking-with-meaning,0
xiaoming2028___FreePAC,0
xinntao___ESRGAN,1
xuannianz___EfficientDet,1
xxbb1234021___speech_recognition,1
yangyanli___PointCNN,1
ymcui___Chinese-BERT-wwm,0
yoyoyohamapi___mit-ml,1
yyandex___gixy,0
zaxlct___python-django-learning,1
zhm-real___PathPlanning,1
zwczou___weixin-python,1
